hostname,sy_pnum,pl_name,discoverymethod,pl_controv_flag,st_mass,pl_orbper,pl_orbeccen,pl_msinie,st_masserr1,pl_orbpererr1,pl_orbeccenerr1,pl_msinieerr1,st_masserr2,pl_orbpererr2,pl_orbeccenerr2,pl_msinieerr2
Kepler-228,3,Kepler-228 b,Transit,0,1.006,2.566546,0.0,,0.035,2.6e-05,,,-0.033,-2.6e-05,,
Kepler-238,5,Kepler-238 c,Transit,0,1.229,6.155557,0.0,,0.035,5e-05,,,-0.062,-5e-05,,
Kepler-324,4,Kepler-324 c,Transit,0,0.901,51.805612,0.0,,0.017,0.000314,,,-0.027,-0.000314,,
Kepler-126,3,Kepler-126 b,Transit,0,1.108,10.495711,0.07,4.117261054,0.029,2.8e-05,0.1,7.118595616,-0.029,-2.8e-05,-0.07,-7.118595616
Kepler-198,3,Kepler-198 c,Transit,0,0.995,49.567416,0.0,,0.008,0.00022,,,-0.023,-0.00022,,
Kepler-398,3,Kepler-398 b,Transit,0,0.649,4.081423,0.0,,0.015,1.1e-05,,,-0.015,-1.1e-05,,
Kepler-244,3,Kepler-244 c,Transit,0,0.933,9.767292,0.0,,0.021,4.6e-05,,,-0.026,-4.6e-05,,
Kepler-247,3,Kepler-247 b,Transit,0,0.887,3.33616,0.0,,0.016,7e-06,,,-0.022,-7e-06,,
Kepler-301,3,Kepler-301 d,Transit,0,1.022,13.751243,0.0,,0.021,8.1e-05,,,-0.029,-8.1e-05,,
Kepler-301,3,Kepler-301 c,Transit,0,1.022,5.419026,0.0,,0.021,3.2e-05,,,-0.029,-3.2e-05,,
Kepler-342,4,Kepler-342 d,Transit,0,1.213,39.459357,0.0,,0.031,0.000375,,,-0.018,-0.000375,,
Kepler-191,3,Kepler-191 b,Transit,0,0.857,9.939632,0.0,,0.015,6.6e-05,,,-0.014,-6.6e-05,,
Kepler-194,3,Kepler-194 d,Transit,0,0.94,52.814973,0.0,,0.034,0.000481,,,-0.034,-0.000481,,
Kepler-208,4,Kepler-208 e,Transit,0,1.082,16.259458,0.0,,0.03,0.000176,,,-0.03,-0.000176,,
Kepler-304,4,Kepler-304 d,Transit,0,0.737,9.653471,0.0,,0.005,1.5e-05,,,-0.013,-1.5e-05,,
Kepler-304,4,Kepler-304 c,Transit,0,0.737,5.315946,0.0,,0.005,7e-06,,,-0.013,-7e-06,,
Kepler-81,3,Kepler-81 d,Transit,0,0.648,20.837846,0.0,,0.028,0.000181,,,-0.028,-0.000181,,
Kepler-197,4,Kepler-197 e,Transit,0,0.857,25.209715,0.38,,0.023,0.000387,0.25,,-0.019,-0.000387,-0.17,
Kepler-350,3,Kepler-350 b,Transit,0,1.19,11.189562,0.0,,0.117,0.000119,,,-0.075,-0.000119,,
Kepler-306,4,Kepler-306 e,Transit,0,0.75,44.840975,0.0,,0.024,0.000439,,,-0.018,-0.000439,,
Kepler-84,5,Kepler-84 e,Transit,0,1.06,27.434389,0.0,,0.057,0.000224,,,-0.06,-0.000224,,
Kepler-265,4,Kepler-265 e,Transit,0,0.97,67.831024,0.0,,0.029,0.001396,,,-0.034,-0.001396,,
Kepler-217,3,Kepler-217 c,Transit,0,1.342,8.586004,0.0,,0.023,5.3e-05,,,-0.024,-5.3e-05,,
Kepler-220,4,Kepler-220 d,Transit,0,0.729,28.122397,0.0,,0.0185,0.000162,,,-0.0185,-0.000162,,
Kepler-351,3,Kepler-351 b,Transit,0,0.81,37.054919,0.0,,0.047,0.000484,,,-0.063,-0.000484,,
Kepler-352,3,Kepler-352 b,Transit,0,0.798,10.05537,0.0,,0.01,0.000194,,,-0.02,-0.000194,,
Kepler-84,5,Kepler-84 d,Transit,0,1.06,4.224537,0.0,,0.057,4.2e-05,,,-0.06,-4.2e-05,,
Kepler-310,3,Kepler-310 d,Transit,0,0.854,92.876125,0.0,,0.034,0.000785,,,-0.032,-0.000785,,
